Surah,Verse,ahmedali,ahmedraza,arberry,daryabadi,hilali,itani,maududi,mubarakpuri,pickthall,qarai,qaribullah,sahih,sarwar,shakir,wahiduddin,yusufali
22,10,That is on account of what you had done in the past; yet God is not unjust to His creatures.,"“This is the recompense of what your hands have sent ahead, and Allah does not oppress His bondmen.""",'That is for what thy hands have forwarded and for that God is never unjust unto His servants.',"That is because of that which thy hands have sent forth, and verily Allah is not a wronger of His bondmen.","That is because of what your hands have sent forth, and verily, Allah is not unjust to (His) slaves.","That is for what your hands have advanced, and because God is not unjust to the servants.","That is the outcome of what your own hands have wrought, for Allah never wrongs His creatures.","That is because of what your hands have sent forth, and verily, Allah is not unjust to servants.","(And unto him it will be said): This is for that which thy two hands have sent before, and because Allah is no oppressor of His slaves.","‘That is because of what your hands have sent ahead, and because Allah is not tyrannical to the servants.’","'This, is the reward for what your hands have forwarded. Allah is not unjust to the worshipers'","""That is for what your hands have put forth and because Allah is not ever unjust to [His] servants.""","(They will be told), ""This is the result of what your hands have wrought. God is certainly not unjust to His servants.""","This is due to what your two hands have sent before, and because Allah is not in the least unjust to the servants.","[God will say],""This is the reward of your misdeeds. God is not unjust to His servants.""","(It will be said): ""This is because of the deeds which thy hands sent forth, for verily Allah is not unjust to His servants."
22,11,"There are some men who worship God only from the margin. If there is some profit they are content; but if calamity befalls them they turn about, thus losing both this world and the next. This is indeed a palpable loss.","And there are some men who worship Allah upon an edge; then if some good occurs to them, they are content; and if some trial comes, they turn way upon their faces; a loss of this world and the Hereafter; and this is the complete loss.","And among men there is such a one as serves God upon the very edge -- if good befalls him he is at rest in it, but if a trial befalls him he turns completely over; he loses this world and the world to come; that is indeed the manifest loss.","And of mankind is he who worshippeth Allah as on edge; if there befalleth him good, he in contented therewith, and if there befalleth him a trial, he turneth round on his face; he loseth the world and the Hereafter: that indeed is a loss manifest!","And among mankind is he who worships Allah as it were, upon the very edge (i.e. in doubt); if good befalls him, he is content therewith; but if a trial befalls him, he turns back on his face (i.e. reverts back to disbelief after embracing Islam). He loses both this world and the Hereafter. That is the evident loss.","And among the people is he who worships God on edge. When something good comes his way, he is content with it. But when an ordeal strikes him, he makes a turnaround. He loses this world and the next. That is the obvious loss.","And among people is he who worships Allah on the borderline; if any good befalls him, he is satisfied; but if a trial afflicts him, he utterly turns away. He will incur the loss of this world and the Hereafter. That indeed is a clear loss.","And among mankind is he who worships Allah as it were upon the edge: if good befalls him, he is content therewith; but if a Fitnah strikes him, he turns back on his face. He loses both this world and the Hereafter. That is the evident loss.","And among mankind is he who worshippeth Allah upon a narrow marge so that if good befalleth him he is content therewith, but if a trial befalleth him, he falleth away utterly. He loseth both the world and the Hereafter. That is the sheer loss.","And among the people are those who worship Allah on the [very] fringe: if good fortune befalls him, he is content with it; but if an ordeal visits him he makes a turnabout, to become a loser in the world and the Hereafter. That is manifest loss.","There are among the people such who worship Allah and (yet stand) on the very edge. When goodness comes to him, he is content, but if a trial befalls him he falls upon his face, he loses this world and the Everlasting Life; that is indeed a clear loss.","And of the people is he who worships Allah on an edge. If he is touched by good, he is reassured by it; but if he is struck by trial, he turns on his face [to the other direction]. He has lost [this] world and the Hereafter. That is what is the manifest loss.","Some people worship God to achieve worldly gains. They are confident when they are prosperous, but when they face hardships they turn away from (worship). They are lost in this life and will be lost in the life to come. Such loss is indeed destructive.","And among men is he who serves Allah (standing) on the verge, so that if good befalls him he is satisfied therewith, but if a trial afflict him he turns back headlong; he loses this world as well as the hereafter; that is a manifest loss.","There are some who worship God half-heartedly, then, if some good befalls them, they are content with it, but if an ordeal befalls them, they revert to their former ways. They lose in this world as well in the Hereafter. That is a clear loss.","There are among men some who serve Allah, as it were, on the verge: if good befalls them, they are, therewith, well content; but if a trial comes to them, they turn on their faces: they lose both this world and the Hereafter: that is loss for all to see!"
22,12,Leaving God they pray to those who cannot harm or profit them. That is the limit of going astray.,"They worship such, beside Allah, which neither harms them nor benefits them; this only is the extreme error.","He calls, apart from God, upon that which hurts him not, and which neither profits him anything; that is indeed the far error.","He calleth upon that, beside Allah, which can neither hurt him nor profit him! that! it is a straying far-off.","He calls besides Allah unto that which hurts him not, nor profits him. That is a straying far away.","He invokes, instead of God, what can neither harm him nor benefit him. That is the far straying.","He invokes, instead of Allah, those who can neither harm nor benefit him. That indeed is straying far away.",He calls besides Allah unto that which can neither harm him nor profit him. That is a straying far away.,"He calleth, beside Allah, unto that which hurteth him not nor benefiteth him. That is the far error.",He invokes besides Allah that which can bring him neither benefit nor harm. That is extreme error.,"He calls to other than Allah, to that which neither hurts him, nor benefits him; that is indeed far error.",He invokes instead of Allah that which neither harms him nor benefits him. That is what is the extreme error.,They worship things instead of God which can neither harm them nor benefit them. This is indeed to stray far away from the right path.,"He calls besides Allah upon that which does not harm him and that which does not profit him, that is the great straying.","He calls on, instead of God, something that can neither harm him, nor benefit him. That is indeed straying far away --","They call on such deities, besides Allah, as can neither hurt nor profit them: that is straying far indeed (from the Way)!"
22,13,They pray to him whose bane is more imminent than his boon: How bad the protector and how bad the associate!,They worship one from whom harm is expected more than the benefit; indeed what an evil master and indeed what an evil friend!,"He calls upon him who is likelier to hurt him, rather than to profit him -- an evil protector indeed, he, an evil friend!",He calleth upon him whose hurt is nearer than his profit: surely ill the patron! ill the comrade!,"He calls unto him whose harm is nearer than his profit; certainly, and evil Maula (patron) and certainly an evil friend!",He invokes one whose harm is closer than his benefit. What a miserable master. What a miserable companion.,"He invokes those that are more likely to cause him harm than benefit. Such is surely an evil patron, and an evil associate.",He calls unto him whose harm is nearer than his profit; certainly an evil Mawla and certainly an evil `Ashir!,He calleth unto him whose harm is nearer than his benefit; verily an evil patron and verily an evil friend!,"He invokes someone whose harm is surely likelier than his benefit. An evil ally indeed, and an evil companion!","He calls upon him whose harm is nearer than his benefit, an evil guide and an evil friend.",He invokes one whose harm is closer than his benefit - how wretched the protector and how wretched the associate.,"Their worship of such things, in which there is no hope for any benefit, can only harm them. How terrible is such a guardian and companion!",He calls upon him whose harm is nearer than his profit; evil certainly is the guardian and evil certainly is the associate.,he calls on that which would sooner harm than help. Such a patron is indeed evil and such a companion is indeed evil.,"(Perhaps) they call on one whose hurt is nearer than his profit: evil, indeed, is the patron, and evil the companion (or help)!"
22,14,God will admit those who believe and do the right to gardens full of rippling streams. Verily God does as He pleases.,"Indeed Allah will admit those who believed and did good deeds, into Gardens beneath which rivers flow; indeed Allah does whatever He wills.",God shall surely admit those who believe and do righteous deeds into gardens underneath which rivers flow; surely God does that He desires.,Verily Allah shall cause those who believe and work righteous works to enter Gardens whereunder rivers flow; verily Allah doth whatsoever He intendeth.,"Truly, Allah will admit those who believe (in Islamic Monotheism) and do righteous good deeds (according to the Quran and the Sunnah) to Gardens underneath which rivers flow (in Paradise). Verily, Allah does what He wills.",God will admit those who believe and do righteous deeds into Gardens beneath which rivers flow. God does whatever He wills.,"(In contrast) Allah will assuredly cause those who believe and act righteously to enter Gardens beneath which rivers flow. For, most certainly, Allah does whatever He pleases.","Truly, Allah will admit those who believe and do righteous good deeds to Gardens underneath which rivers flow. Verily, Allah does what He wills.",Lo! Allah causeth those who believe and do good works to enter Gardens underneath which rivers flow. Lo! Allah doth what He intendeth.,Allah will indeed admit those who have faith and do righteous deeds into gardens with streams running in them. Indeed Allah does whatever He desires.,As for those who believe and do good works Allah will admit them to gardens underneath which rivers flow. Allah indeed does what He will.,"Indeed, Allah will admit those who believe and do righteous deeds to gardens beneath which rivers flow. Indeed, Allah does what He intends.",God will admit the righteously striving believers to the gardens wherein streams flow. God has all the power to do whatever He wants.,"Surely Allah will cause those who believe and do good deeds to enter gardens beneath which rivers flow, surely Allah does what He pleases.",God will admit those who believe and act righteously into Gardens watered by flowing rivers. God does whatever He wills.,"Verily Allah will admit those who believe and work righteous deeds, to Gardens, beneath which rivers flow: for Allah carries out all that He plans."
22,15,He who thinks that God will not help him in this world and the next should stretch a rope to the sky then cut it off and see if his mind is relieved (of doubts) by this stratagem.,"Therefore whoever assumes that Allah will not assist His Prophet (Mohammed – peace and blessings be upon him) in this world and the Hereafter, should extend a rope upwards and hang himself, and then see whether his scheme has taken away what he envies.","Whosoever thinks God will not help him in the present world and the world to come; let him stretch up a rope to heaven, then let him sever it, and behold whether his guile does away with what enrages him.","Whosoever hath been imagining that Allah shall not make him victorious in the world and the Hereafter, let him stretch a cord up to the heaven and let him cut it, and let him look if his stratagem can do away that whereat he enrageth.","Whoever thinks that Allah will not help him (Muhammad SAW) in this world and in the Hereafter, let him stretch out a rope to the ceiling and let him strangle himself. Then let him see whether his plan will remove that whereat he rages!","Whoever thinks that God will not help him in this life and in the Hereafter—let him turn to heaven, then sever, and see if his cunning eliminates what enrages him.","Anyone who fancies that Allah will not support him in this world and in the Hereafter, let him reach out to heaven through a rope, and then make a hole in the sky and see whether his device can avert that which enrages him.","Whoever thinks that Allah will not help him in this world and in the Hereafter, let him stretch out a rope to the ceiling and let him strangle himself. Then let him see whether his plan will remove that whereat he rages!","Whoso is wont to think (through envy) that Allah will not give him (Muhammad) victory in the world and the Hereafter (and is enraged at the thought of his victory), let him stretch a rope up to the roof (of his dwelling), and let him hang himself. Then let him see whether his strategy dispelleth that whereat he rageth!.","Whoever thinks that Allah will not help him in this world and the Hereafter, let him stretch a rope to the ceiling and hang himself, and see if his artifice would remove his rage.","If any one thinks that Allah will not give him (Prophet Muhammad) victory in this present world and in the Everlasting Life, let him stretch a rope to heaven, and let him sever it. Then, let him see if his guile does away with that which has enraged him.","Whoever should think that Allah will not support [Prophet Muhammad] in this world and the Hereafter - let him extend a rope to the ceiling, then cut off [his breath], and let him see: will his effort remove that which enrages [him]?","Those who thought that God would never grant victory to (Muhammad), in this world nor in the life hereafter (and now that he is victorious) should hang themselves by the necks from the ceiling, then cut the rope and see if this can do away with what has enraged them.","Whoever thinks that Allah will not assist him in this life and the hereafter, let him stretch a rope to the ceiling, then let him cut (it) off, then let him see if his struggle will take away that at which he is enraged.","Anyone who thinks that God will not help him [His messenger] in this world and the Hereafter, let him stretch a rope up to the sky; then let him cut it off and see if his plan can help to remove the cause of his anger.","If any think that Allah will not help him (His Messenger) in this world and the Hereafter, let him stretch out a rope to the ceiling and cut (himself) off: then let him see whether his plan will remove that which enrages (him)!"
22,16,"That is why We have sent down these clear revelations, for God gives guidance whomsoever He please.","And so it is, that We sent down this Qur’an – clear verses – and that Allah guides whomever He wills.","Even so We have sent it down as signs, clear signs, and for that God guides whom He desires.","And Thus We have sent it down as evidences, and verily Allah guideth whomsoever He intendeth.","Thus have We sent it (this Quran) down (to Muhammad SAW) as clear signs, evidences and proofs, and surely, Allah guides whom He wills.","Thus We revealed it as clarifying signs, and God guides whomever He wills.",Even so We have revealed the Qur'an with Clear Signs. Verily Allah guides whomsoever He wills.,"Thus have We sent it down as clear Ayat, and surely, Allah guides whom He wills.","Thus We reveal it as plain revelations, and verily Allah guideth whom He will.","Thus have We sent it down as manifest signs, and indeed Allah guides whomever He desires.","As such We have sent it in clear verses. Indeed, Allah gives guidance to whom He will.",And thus have We sent the Qur'an down as verses of clear evidence and because Allah guides whom He intends.,We have revealed the Quran which contains authoritative verses. God guides only those whom He wants.,"And thus have We revealed it, being clear arguments, and because Allah guides whom He intends.","We have sent down the Quran as clear evidence, and surely God guides whom He will.",Thus have We sent down Clear Signs; and verily Allah doth guide whom He will!
22,17,"God will judge between those who believe and the Jews, the Sabians, Christians and the Magians and the idolaters, on the Day of Judgement. Verily God is witness to everything.","Indeed the Muslims, and the Jews, and the Sabeans, and the Christians and the fire worshippers and the polytheists – indeed Allah will decide between all of them on the Day of Resurrection; indeed Allah witnesses all things.","Surely they that believe, and those of Jewry, the Sabaeans, the Christians, the Magians and the idolaters -- God shall distinguish between them on the Day of Resurrection; assuredly God is witness over everything.",Verily those who believe and those who are Judaised and the Sabians and the Nazarenes and the Magians and those who associate - verily Allah will decide between them on the Day of Judgment; verily Allah is over everything a Witness.,"Verily, those who believe (in Allah and in His Messenger Muhammad SAW), and those who are Jews, and the Sabians, and the Christians, and the Magians, and those who worship others besides Allah, truly, Allah will judge between them on the Day of Resurrection. Verily! Allah is Witness over all things.","Those who believe, and those who are Jewish, and the Sabeans, and the Christians, and the Zoroastrians, and the Polytheists—God will judge between them on the Day of Resurrection. God is witness to all things.","On the Day of Resurrection Allah will most certainly judge among those who believe, and those who became Jews, and Sabaeans, and Christians, and Magians, and those who associate others with Allah in His Divinity. Surely Allah watches over everything.","Verily, those who believe, and those who are Jews, and the Sabians, and the Christians, and the Majus, and those who worship others besides Allah; truly, Allah will judge between them on the Day of Resurrection. Verily, Allah is over all things a Witness.","Lo! those who believe (this revelation), and those who are Jews, and the Sabaeans and the Christians and the Magians and the idolaters - Lo! Allah will decide between them on the Day of Resurrection. Lo! Allah is Witness over all things.","Indeed Allah will indeed judge between the faithful, the Jews, the Sabaeans, the Christians, the Magians and the polytheists on the Day of Resurrection. Indeed Allah is witness to all things.","Surely, they that believe, and those of Jewry, the Sabaeans, the Nazarenes, the Magians, and the unbelievers, Allah will judge them on the Day of Resurrection. Surely, Allah is witness over everything.","Indeed, those who have believed and those who were Jews and the Sabeans and the Christians and the Magians and those who associated with Allah - Allah will judge between them on the Day of Resurrection. Indeed Allah is, over all things, Witness.","On the Day of Judgment, God will make truth and falsehood clearly distinct from each other to the believers, the Jews, the Sabeans, the Christian, the Zoroastrians, and the Pagans on the Day of Judgment. God is a Witness to all things.",Surely those who believe and those who are Jews and the Sabeans and the Christians and the Magians and those who associate (others with Allah)-- surely Allah will decide between them on the day of resurrection; surely Allah is a witness over all things.,"God will judge between the believers, the Jews, the Sabaeans, the Christians, the Magians and the polytheists on the Day of Judgement. Surely God is witness to everything.","Those who believe (in the Qur'an), those who follow the Jewish (scriptures), and the Sabians, Christians, Magians, and Polytheists,- Allah will judge between them on the Day of Judgment: for Allah is witness of all things."
22,18,"Do you see how all things in heavens and the earth, the sun, the moon, the stars, the mountains, trees and beasts, and men in abundance, pay homage to God? Yet there are many who deserve the punishment. And whosoever God disgraces will have none to raise him up in honour. God does verily as He will.","Did you not see that for Allah prostrate those who are in the heavens and in the earth, and the sun, and the moon, and the stars, and the hills, and the trees, and the beasts, and many among mankind; and there are many upon whom the punishment has been decreed; and he whom Allah disgraces – there is none to give him honour; indeed Allah may do whatever He wills. (Command of Prostration # 6)","Hast thou not seen how to God bow all who are in the and all who are in the earth, heavens the sun and the moon, the stars and the mountains, the trees and the beasts, and many of mankind? And many merit the chastisement; and whom God abases, there is none to honour him. God does whatsoever He will.","Beholdest thou not that Allah unto Him adore whosoever is in the heavens and on the earth, and the sun, and the moon, and the mountains, and the trees and the beasts, and many of mankind! And many are there on whom due is the torment. And whomsoever Allah despiseth, none can honour; verily Allah doth whatsoever He willeth.","See you not that to Allah prostrates whoever is in the heavens and whoever is on the earth, and the sun, and the moon, and the stars, and the mountains, and the trees, and Ad-Dawab (moving living creatures, beasts, etc.), and many of mankind? But there are many (men) on whom the punishment is justified. And whomsoever Allah disgraces, none can honour him. Verily! Allah does what He wills.","Do you not realize that to God prostrates everyone in the heavens and everyone on earth, and the sun, and the moon, and the stars, and the mountains, and the trees, and the animals, and many of the people? But many are justly deserving of punishment. Whomever God shames, there is none to honor him. God does whatever He wills.","Have you not seen that all those who are in the heavens and all those who are in the earth prostrate themselves before Allah; and so do the sun and the moon, and the stars and the mountains, and the trees, and the beasts, and so do many human beings, and even many of those who are condemned to chastisement? And he whom Allah humiliates, none can give him honour. Allah does whatever He wills.","See you not that whoever is in the heavens and whoever is on the earth, and the sun, and the moon, and the stars, and the mountains, and the trees, and Ad-Dawabb, and many of mankind prostrate themselves to Allah. But there are many (men) on whom the punishment is justified. And whomsoever Allah disgraces, none can honor him. Verily, Allah does what He wills.","Hast thou not seen that unto Allah payeth adoration whosoever is in the heavens and whosoever is in the earth, and the sun, and the moon, and the stars, and the hills, and the trees, and the beasts, and many of mankind, while there are many unto whom the doom is justly due. He whom Allah scorneth, there is none to give him honour. Lo! Allah doeth what He will.","Have you not regarded that whoever is in the heavens and whoever is on the earth prostrates to Allah, as well as the sun, the moon, and the stars, the mountains, the trees, and the animals and many humans? And many have come to deserve the punishment. Whomever Allah humiliates will find no one who may bring him honour. Indeed Allah does whatever He wishes.","Have you not seen that to Allah prostrate all who are in the heavens and all who are in the earth, the sun and the moon, the stars and the mountains, the trees and the beasts, and many people? And many deserve the punishment. He who is abased by Allah has none to honor him. Allah does what He will.","Do you not see that to Allah prostrates whoever is in the heavens and whoever is on the earth and the sun, the moon, the stars, the mountains, the trees, the moving creatures and many of the people? But upon many the punishment has been justified. And he whom Allah humiliates - for him there is no bestower of honor. Indeed, Allah does what He wills.","Have you not considered that those in the heavens and the earth, the Sun, the Moon, the Stars, the mountains, the trees, the animals, and many people, all bow down to God? But many people deserve His torment. No one can give honor to whomever God has insulted. God has all the power to do what He wants.","Do you not see that Allah is He, Whom obeys whoever is in the heavens and whoever is in the earth, and the sun and the moon and the stars, and the mountains and the trees, and the animals and many of the people; and many there are against whom chastisement has become necessary; and whomsoever Allah abases, there is none who can make him honorable; surely Allah does what He pleases.","Do you not see that whoever is in the heavens and whoever is on the earth, as well as the sun and the moon, and the stars and the mountains, and the trees and the beasts and many human beings -- all submit to God? But there are many who have become deserving of punishment. Whoever God disgraces, will have no one to honour him. Surely, God does what He wills.","Seest thou not that to Allah bow down in worship all things that are in the heavens and on earth,- the sun, the moon, the stars; the hills, the trees, the animals; and a great number among mankind? But a great number are (also) such as are fit for Punishment: and such as Allah shall disgrace,- None can raise to honour: for Allah carries out all that He wills."
22,19,"These two (believers and unbelievers) are disputants, who contend about their Lord. But they who disbelieve will be fitted out with garments of flames. Boiling water will be poured down over their heads",These are the two groups who fought concerning their Lord; so those who disbelieved – garments of fire have been fashioned for them; and boiling water will be poured onto their heads.,"These are two disputants who have disputed concerning their Lord. As for the unbelievers, for them garments of fire shall, be cut, and there shall be poured over their heads boiling water","These twain are opponents who contended respecting their Lord; then as for those who disbelieved, cut out for them shall be raiments of frre: poured out over their head shall be hot water.","These two opponents (believers and disbelievers) dispute with each other about their Lord; then as for those who disbelieve, garments of fire will be cut out for them, boiling water will be poured down over their heads.","Here are two adversaries feuding regarding their Lord. As for those who disbelieve, garments of fire will be tailored for them, and scalding water will be poured over their heads.","These two groups (the believers and unbelievers) are in dispute about their Lord. As for those that disbelieve, garments of fire have been cut out for them; boiling water shall be poured down over their heads,","These two opponents dispute with each other about their Lord; then as for those who disbelieved, garments of fire will be cut out for them, boiling water will be poured down over their heads.","These twain (the believers and the disbelievers) are two opponents who contend concerning their Lord. But as for those who disbelieve, garments of fire will be cut out for them; boiling fluid will be poured down on their heads,","These two contending groups contend concerning their Lord. As for those who are faithless, cloaks of fire will be cut out for them, and boiling water will be poured over their heads,","Those are two who disputed concerning their Lord. Garments of fire have been prepared for the unbelievers. Boiling water shall be poured over their heads,",These are two adversaries who have disputed over their Lord. But those who disbelieved will have cut out for them garments of fire. Poured upon their heads will be scalding water,(Those who prostrate themselves before God and those who do not) are two groups who dispute with each other about their Lord. For the unbelievers the garment of fire has already been prepared. Boiling water will be poured upon their heads.,"These are two adversaries who dispute about their Lord; then (as to) those who disbelieve, for them are cut out garments of fire, boiling water shall be poured over their heads.","These two groups, [the believers and those who deny the truth], dispute concerning their Lord. Those who deny the truth will have garments of fire cut out for them; and boiling water will be poured down over their heads,","These two antagonists dispute with each other about their Lord: But those who deny (their Lord),- for them will be cut out a garment of Fire: over their heads will be poured out boiling water."
22,20,"Which will dissolve everything within their bellies, and their skins.","With which will melt what is in their bellies, and their skins.",whereby whatsoever is in their bellies and their skins shall be melted;,Molten thereby shall be that which is in their bellies and also their skins.,"With it will melt or vanish away what is within their bellies, as well as (their) skins.",Melting their insides and their skins.,causing (not only) their skins but all that is in their bellies as well to melt away.,"With it will melt (or vanish away) what is within their bellies, as well as (their) skins.","Whereby that which is in their bellies, and their skins too, will be melted;","with which their skins and entrails will fuse,",and that which is in their bellies and their skins shall be melted;,By which is melted that within their bellies and [their] skins.,It will melt their skins and all that is in their bellies.,With it shall be melted what is in their bellies and (their) skins as well.,anything in their stomachs as well as their skins will be melted by it.,"With it will be scalded what is within their bodies, as well as (their) skins."
22,21,There are iron maces for them.,And for them are rods of iron.,for them await hooked iron rods;,And for them shall be maces of iron.,And for them are hooked rods of iron (to punish them).,And they will have maces of iron.,There shall be maces of iron to lash them.,And for them are hooked rods of iron.,And for them are hooked rods of iron.,and there will be clubs of iron for them.,for them are hooked rods of iron.,And for [striking] them are maces of iron.,They will be subdued by iron rods.,And for them are whips of iron.,There will be maces of iron for them;,In addition there will be maces of iron (to punish) them.
22,22,"As often as they try to escape from its anguish they would be put back into (the fire), and taste the torment of burning.","Whenever they wish to come out of it due to suffocation, they will be returned to it again and it will be commanded, “Taste the punishment of fire!”","as often as they desire in their anguish to come forth from it, they shall be restored into it, and: 'Taste the chastisement of the burning!'","So oft as they would seek to go forth therefrom, because of anguish, they shall be sent back therein, and taste the torment of Burning.","Every time they seek to get away therefrom, from anguish, they will be driven back therein, and (it will be) said to them: ""Taste the torment of burning!""","Whenever they try to escape the gloom, they will be driven back to it: “Taste the suffering of burning.”","Whenever they try, in their anguish, to escape from Hell, they will be driven back into it, (and shall be told): ""Now taste the torment of burning.""","Every time they seek to get away therefrom, from anguish, they will be driven back therein, and (it will be) said to them: ""Taste the torment of burning!""","Whenever, in their anguish, they would go forth from thence they are driven back therein and (it is said unto them): Taste the doom of burning.","Whenever they desire to leave it out of anguish, they will be turned back into it [and told]: ‘Taste the punishment of the burning!’","Whenever in their anguish they try to get out of it, they are restored to it. (It will be said): 'Taste the punishment of burning'","Every time they want to get out of Hellfire from anguish, they will be returned to it, and [it will be said], ""Taste the punishment of the Burning Fire!""",Whenever in anguish they will try to come out of hell they will be returned therein to suffer the burning torment.,"Whenever they will desire to go forth from it, from grief, they shall be turned back into it, and taste the chastisement of burning.","whenever, in their anguish they seek to escape from Hell, they will be driven back into it, and they will be told, ""Taste the punishment of Hell.""","Every time they wish to get away therefrom, from anguish, they will be forced back therein, and (it will be said), ""Taste ye the Penalty of Burning!"""
22,23,"God will surely admit those who believe and do the right to gardens with rivers running by, where they will be decked in bracelets of gold and of pearls; and of silk will be their garments.","Indeed Allah will admit those who believed and did good deeds into Gardens beneath which rivers flow – in it they will be made to wear armlets of gold, and pearls, and in it their garment is silk.","God shall surely admit those who believe and do righteous deeds into gardens underneath which rivers flow; therein they shall be adorned with bracelets of gold and with pearls, and their apparel there shall be of silk;","Verily Allah will cause those who believe and work righteous works to enter Gardens whereunder the rivers flow, wherein they will be bedecked with brace lets of gold and with pearls, and their garment therein shall be of silk.","Truly, Allah will admit those who believe (in the Oneness of Allah Islamic Monotheism) and do righteous good deeds, to Gardens underneath which rivers flow (in Paradise), wherein they will be adorned with bracelets of gold and pearls and their garments therein will be of silk.","But God will admit those who believe and do good deeds into Gardens beneath which rivers flow. They will be decorated therein with bracelets of gold and pearls, and their garments therein will be of silk.","(On the other hand), Allah will cause those who believed and acted righteously to enter the Gardens beneath which rivers flow. They shall be decked in them with bracelets of gold and pearls and their raiment shall be of silk.","Truly, Allah will admit those who believe and do righteous good deeds, to Gardens underneath which rivers flow (in Paradise), wherein they will be adorned with bracelets of gold and pearls and their garments therein will be of silk.","Lo! Allah will cause those who believe and do good works to enter Gardens underneath which rivers flow, wherein they will be allowed armlets of gold, and pearls, and their raiment therein will be silk.","Indeed Allah will admit those who have faith and do righteous deeds into gardens with streams running in them, adorned therein with bracelets of gold and pearl, and their dress therein will be silk.","Allah will admit those who believe and do good works to gardens underneath which rivers flow. They shall be adorned therein with bracelets of gold and with pearls, and their garments shall be of silk.","Indeed, Allah will admit those who believe and do righteous deeds to gardens beneath which rivers flow. They will be adorned therein with bracelets of gold and pearl, and their garments therein will be silk.","God will admit the righteously striving believers to the gardens wherein streams flow. There they will be decked with gold bracelets, pearls, and garments of silk,","Surely Allah will make those who believe and do good deeds enter gardens beneath which rivers flow; they shall be adorned therein with bracelets of gold and (with) pearls, and their garments therein shall be of silk.",God will admit those who believe and do good deeds to Gardens watered by flowing rivers; there they will be given bracelets of gold and pearls to wear and their clothing will be of silk.,"Allah will admit those who believe and work righteous deeds, to Gardens beneath which rivers flow: they shall be adorned therein with bracelets of gold and pearls; and their garments there will be of silk."
22,24,"They will be guided with gentle words, and guided to the commended path.",And they were guided to sacred speech; and they were shown the path of the Most Praiseworthy.,"and they; shall be guided unto goodly speech, and they shall be guided unto the path of the All-laudable.","And they have been guided unto goodly speech, and they have been guided to the path of the Praiseworthy.","And they are guided (in this world) unto goodly speech (i.e. La ilaha ill-Allah, Alhamdu lillah, recitation of the Quran, etc.) and they are guided to the Path of Him (i.e. Allah's Religion of Islamic Monotheism), Who is Worthy of all praises.",They were guided to purity of speech. They were guided to the path of the Most Praised.,They were guided (to accept) the pure word; they were guided to the Way of the Praiseworthy (Lord).,"And they are guided unto goodly speech and they are guided to the path of Him, Who is Worthy of all praises.",They are guided unto gentle speech; they are guided unto the path of the Glorious One.,"They were guided to chaste belief, and guided to the path of the All-laudable.",For they shall be guided to good speech and guided to the praised path.,"And they had been guided [in worldly life] to good speech, and they were guided to the path of the Praiseworthy.",for they were guided to speak the noblest words and follow the praiseworthy path.,And they are guided to goodly words and they are guided into the path of the Praised One.,For they were guided to purity of speech. And they were guided to the path of the Glorious Lord.,For they have been guided (in this life) to the purest of speeches; they have been guided to the Path of Him Who is Worthy of (all) Praise.
